# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1409.264570376325764,0.00827,0.00044,0.00338,0.00008,0.00419,0.00235,0.01871
1409.297771314750662,0.00815,0.00042,0.00430,0.00006,0.00799,0.00333,0.02425
1409.331017058845191,0.00589,0.00051,0.00481,0.00006,0.00468,0.00268,0.01864
1409.364193589957722,0.00613,0.00051,0.00829,0.00006,0.00000,0.00203,0.01702
1409.397365022647136,0.00679,0.00036,0.00490,0.00006,0.00204,0.00315,0.01731
1409.430491461438805,0.00764,0.00036,0.00981,0.00006,0.00000,0.00267,0.02054
1409.463616388557057,0.00516,0.00049,0.00687,0.00006,0.00000,0.00262,0.01520
1409.496790505540048,0.01186,0.00028,0.01289,0.00007,0.00000,0.00196,0.02707
1409.529971136094218,0.00381,0.00034,0.02274,0.00005,0.00138,0.00228,0.03061
1409.596399022299465,0.00478,0.00042,0.02180,0.00006,0.00000,0.00220,0.02928
1409.629560979126154,0.00639,0.00040,0.01373,0.00005,0.00155,0.00225,0.02436
1409.662710567744853,0.00477,0.00040,0.01975,0.00006,0.00136,0.00222,0.02856
1409.729054204522072,0.00704,0.00104,0.00604,0.00005,0.00000,0.00212,0.01629
1409.762186875440875,0.01107,0.00037,0.00748,0.00006,0.00129,0.00233,0.02260
1409.795354763799651,0.00496,0.00047,0.01268,0.00007,0.00000,0.00300,0.02118
1409.828529917597280,0.00765,0.00070,0.00358,0.00003,0.00000,0.00205,0.01401
1409.861695895358935,0.00653,0.00038,0.00910,0.00007,0.00000,0.00289,0.01897
1409.894908682437517,0.00934,0.00045,0.00523,0.00006,0.00000,0.00241,0.01749
1409.928039900314161,0.00580,0.00038,0.00637,0.00006,0.00000,0.00321,0.01583
1409.961209373005431,0.00699,0.00081,0.01338,0.00007,0.00000,0.00215,0.02340
1409.994381595638060,0.00483,0.00047,0.00764,0.00008,0.00000,0.00388,0.01691
1410.027551293012948,0.01169,0.00055,0.00972,0.00006,0.00122,0.00196,0.02519
1410.060662878948051,0.00455,0.00040,0.01814,0.00006,0.00123,0.00216,0.02654
1410.093811700633296,0.00505,0.00049,0.01531,0.00006,0.00118,0.00214,0.02423
1410.126965710239347,0.00535,0.00069,0.01070,0.00005,0.00335,0.00195,0.02211
1410.160096175703984,0.00906,0.00036,0.02003,0.00006,0.00234,0.00204,0.03388
1410.193261287399309,0.00517,0.00028,0.00595,0.00005,0.00000,0.00215,0.01359
1410.259533307550100,0.00797,0.00054,0.01110,0.00006,0.00227,0.00199,0.02393
1410.292668976184359,0.00708,0.00063,0.02214,0.00005,0.00245,0.00194,0.03429
1410.325835916228016,0.00653,0.00037,0.00476,0.00005,0.00000,0.00184,0.01356
1410.359036983160649,0.00479,0.00035,0.00973,0.00005,0.00000,0.00196,0.01688
1410.392207456786309,0.00856,0.00069,0.00314,0.00005,0.00000,0.00193,0.01437
1410.425372924693420,0.00493,0.00026,0.01256,0.00005,0.00438,0.00299,0.02516
1410.458543701919098,0.00496,0.00038,0.00483,0.00005,0.00117,0.00192,0.01331
1410.491714419332993,0.00679,0.00036,0.00515,0.00005,0.00154,0.00243,0.01632
1410.524883993481126,0.01086,0.00027,0.00405,0.00004,0.00110,0.00186,0.01819
1410.557989033613239,0.00660,0.00059,0.01136,0.00005,0.01240,0.00196,0.03297
1410.591196178166456,0.00388,0.00026,0.00568,0.00005,0.00330,0.00196,0.01513
1410.624364005784400,0.00598,0.00034,0.01181,0.00005,0.00229,0.00199,0.02246
